"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","8","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","testGetAmenities_empty","testGetAmenities_empty()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","13","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testCreateCallBackRequesterEqualsOwner_fail","testCreateCallBackRequesterEqualsOwner_fail()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","6","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","testShouldNotCreateUserIfPhoneNumberIsNull_fail","testShouldNotCreateUserIfPhoneNumberIsNull_fail()",""
"failed","Wed Feb 18 17:24:35 UTC 2026","Wed Feb 18 17:24:35 UTC 2026","56","","com.roomfinder.roomzy.service.impl.RefDataSearchServiceImplTest","","com.roomfinder.roomzy.service.impl.RefDataSearchServiceImplTest","testGetRefDataByTypeAndIdServiceNotRegistered_fail","testGetRefDataByTypeAndIdServiceNotRegistered_fail()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","24","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","testCreateRoomListingInvalidRefData_fail","testCreateRoomListingInvalidRefData_fail()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","9","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","","com.roomfinder.roomzy.service.impl.AmenitiesServiceImplTest","testGetAmenitiesByCategoryCategoryNotFound_fail","testGetAmenitiesByCategoryCategoryNotFound_fail()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","237","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","testPageListingPhotoValidatorInvalidUrl_fail","testPageListingPhotoValidatorInvalidUrl_fail()",""
"passed","Wed Feb 18 17:24:35 UTC 2026","Wed Feb 18 17:24:35 UTC 2026","37","","com.roomfinder.roomzy.service.impl.RefDataSearchServiceImplTest","","com.roomfinder.roomzy.service.impl.RefDataSearchServiceImplTest","testGetAllRefDataByType_success","testGetAllRefDataByType_success()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","10","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","testCreatePageListing_userNotFound_fail","testCreatePageListing_userNotFound_fail()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","16","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","testUpdateRentStatus_success","testUpdateRentStatus_success()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","20","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testCreateCallBack_success","testCreateCallBack_success()",""
"passed","Wed Feb 18 17:24:41 UTC 2026","Wed Feb 18 17:24:41 UTC 2026","8","","com.roomfinder.roomzy.service.impl.JwtServiceImplTest","","com.roomfinder.roomzy.service.impl.JwtServiceImplTest","generateAccessToken_success","generateAccessToken_success()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","8","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","","com.roomfinder.roomzy.service.impl.UserServiceImplTest","testCreateUser_success","testCreateUser_success()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","27","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testGetOwnerCallBacks_emptyResult","testGetOwnerCallBacks_emptyResult()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","11","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testCreateCallBackPageNotFound_fail","testCreateCallBackPageNotFound_fail()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","17","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","sendOtpCooldownNotPassed_fail","sendOtpCooldownNotPassed_fail()",""
"passed","Wed Feb 18 17:24:39 UTC 2026","Wed Feb 18 17:24:39 UTC 2026","10","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","","com.roomfinder.roomzy.service.impl.PageListingServiceImplTest","testCreatePageListingPriceValidation_fail","testCreatePageListingPriceValidation_fail()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","550","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","testUpdateRentStatus_invalidStatus_fail","testUpdateRentStatus_invalidStatus_fail()",""
"broken","Wed Feb 18 17:24:48 UTC 2026","Wed Feb 18 17:24:48 UTC 2026","9","","com.roomfinder.roomzy.RoomzyApplicationTests","","com.roomfinder.roomzy.RoomzyApplicationTests","contextLoads","contextLoads()",""
"passed","Wed Feb 18 17:24:38 UTC 2026","Wed Feb 18 17:24:38 UTC 2026","11","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","","com.roomfinder.roomzy.service.impl.CallBackServiceImplTest","testGetOwnerCallBacks_success","testGetOwnerCallBacks_success()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","36","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","","com.roomfinder.roomzy.service.impl.OtpServiceImplTest","sendOtpNewOtp_success","sendOtpNewOtp_success()",""
"passed","Wed Feb 18 17:24:37 UTC 2026","Wed Feb 18 17:24:37 UTC 2026","9","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","","com.roomfinder.roomzy.service.impl.RoomListingServiceImplTest","testCreateRoomListingUserNotFound_fail","testCreateRoomListingUserNotFound_fail()",""
